server,bus1,bus2,bus3,bus4,bus5,bus6,cloud
4,218,62,111,98,105,103,99
5,219,66,105,102,104,90,109
4,219,74,106,92,101,103,101
3,218,66,111,89,103,107,103
5,221,78,108,80,95,106,107
4,216,91,110,91,98,98,92
7,218,112,110,81,93,103,76
11,219,104,110,83,95,98,80
6,219,106,110,86,69,105,99
11,219,76,111,97,72,108,106
9,215,79,107,100,84,106,100
2,216,109,109,98,73,106,87
1,222,103,106,96,75,107,90
10,215,95,105,103,97,110,65
4,218,97,106,102,102,106,65
5,218,104,99,91,105,108,70
2,217,95,110,96,86,106,88
3,217,97,108,94,83,109,89
10,217,94,84,97,86,110,102
6,222,93,105,103,58,105,108
7,216,92,112,94,69,108,102
2,220,88,96,99,81,108,106
12,219,66,107,97,86,113,100
12,218,81,109,99,74,108,99
4,215,73,107,106,82,109,104
3,221,77,111,104,86,106,92
7,217,92,110,95,82,105,92
6,217,74,106,100,88,106,103
3,220,100,109,106,72,108,82
8,219,90,111,86,90,110,86
3,215,82,100,101,86,107,106
2,215,92,106,89,94,108,94
5,218,78,108,97,107,109,78
6,218,92,110,90,110,110,64
